sample,speaker_id,chapter_id,utterance_id,bitrate,reference,prediction,wer,wav_size_bytes,mp3_size_bytes,compression_ratio
1,1089,134686,0,32k,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOWER FAT AND SAUCE,0.10714285714285714,333998,42273,7.900976982944196
2,1089,134686,1,32k,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,STUFFED INTO YOU HIS BELLY COUNSELLED HIM,0.25,104878,13617,7.701990159359624
3,1089,134686,2,32k,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,0.0,212078,27153,7.810481346444224
4,1089,134686,3,32k,HELLO BERTIE ANY GOOD IN YOUR MIND,O BERTIE ANY GOOD IN YOUR MIND,0.14285714285714285,85838,11313,7.587554141253425
5,1089,134686,4,32k,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NUMBERTEN FRESCH NELLI IS WAITING ON YOU GOOD NIGHT HUSBAND,0.36363636363636365,166960,21393,7.804422007198617
6,1089,134686,5,32k,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,0.045454545454545456,308398,39105,7.88640838767421
7,1089,134686,6,32k,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,0.0,337838,42849,7.884384699759621
8,1089,134686,7,32k,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,0.0,136878,17649,7.75556688764236
9,1089,134686,8,32k,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,0.0,215438,27441,7.850952953609562
10,1089,134686,9,32k,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,0.0,338478,42849,7.899320870965483
