dataset,codec,bitrate,dataset_index,reference,wav_prediction,compressed_prediction,wav_wer,compressed_wer,delta_sample_wer,delta_substitutions,delta_deletions,delta_insertions
test-clean,mp3,16k,757,HE NODS HIS CONSENT,HE NODS HIS CONSENT,HE GNODS HIS CONCERT,0.0,0.5,0.5,2,0,0
test-clean,mp3,16k,4,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NUMBERTEN FRESCH NELLI IS WAITING ON YOU GOOD NIGHT HUSBAND,0.0,0.3636363636363636,0.3636363636363636,3,1,0
test-clean,opus,8k,1248,PHOENICIAN VERY GOOD,PHOENICIAN VERY GOOD,PHENICIAN VERY GOOD,0.0,0.3333333333333333,0.3333333333333333,1,0,0
test-clean,opus,8k,1479,WE ATE AT MANY MEN'S TABLES UNINVITED,WE ATE AT MANY MEN'S TABLES UNINVITED,WE ATED MANY MEN'S TABLES UNINVITED,0.0,0.2857142857142857,0.2857142857142857,1,1,0
test-clean,opus,6k,453,COTTON SHE PAUSED,COTTON SHE PAUSED,CURTON SHE VASKED,0.0,0.6666666666666666,0.6666666666666666,2,0,0
test-clean,opus,6k,1265,LOOK CLOSELY AT LIFE,LOOK CLOSELY AT LIFE,LOOK CLOSELY AS LIGTS,0.0,0.5,0.5,2,0,0
test-other,opus,8k,1637,NOT YEARS FOR SHE'S ONLY FIVE AND TWENTY,NOT YEARS FOR SHE'S ONLY FIVE AND TWENTY,NOT EARS FARSE'S ALWAYS HAVE AND PLENTY,0.0,0.75,0.75,5,1,0
test-other,opus,8k,593,DIRECTED FOR YOUR MASTER,DIRECTED FOR YOUR MASTER,DIRECTED FOOMASTA,0.0,0.75,0.75,1,2,0
test-other,opus,6k,2021,THIS MIGHT SEEM ONE OF THE MOST ACCESSIBLE OF PLEASURES BUT IN POINT OF FACT SHE HAD NOT FOUND IT SO,THIS MIGHT SEEM ONE OF THE MOST ACCESSIBLE OF PLEASURES BUT IN POINT OF FACT SHE HAD NOT FOUND IT SO,THE PLANTING ON THE MEDEFESSIABLE TEASURES BUT ANTINTO TAT YE HAV NOT FOUND IT SAD,0.0,0.7619047619047619,0.7619047619047619,10,6,0
test-other,opus,6k,1717,BUT ONE'S WORK IS THROWN IN FOR NOTHING,BUT ONE'S WORK IS THROWN IN FOR NOTHING,THE ONE WAS IT SOMEN FOR NOTHING,0.0,0.75,0.75,5,1,0
