dataset_index,speaker_id,chapter_id,utterance_id,reference,wav_prediction,wav_wer,compressed_prediction,compressed_wer,compression_ratio,dataset,codec,bitrate,delta_sample_wer,wav_substitutions,wav_deletions,wav_insertions,compressed_substitutions,compressed_deletions,compressed_insertions,delta_substitutions,delta_deletions,delta_insertions,wav_correct,compressed_correct,new_error,recovered,worsened,improved,unchanged
1548,5142,36377,17,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOMI AND ME,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOME AND ME,0.0714285714285714,THE ONLY CHEERFUL CONVERSATION WAS THE CONVERSATION ACROSS THE TABLE BETWEEN NAOME AND ME,0.0714285714285714,1.942249673050279,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
1092,4077,13751,18,AMERICAN SCHOOL BOYS READ WITH EMOTIONS OF HORROR OF THE ALBIGENSES DRIVEN BEATEN AND KILLED WITH A PAPAL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,AMERICAN SCHOOLBOYS READ WITH EMOTIONS OF HORROR OF THE ALBAGINZES DRIVEN BEATEN AND KILLED WITH A PAPEL LEGATE DIRECTING THE BUTCHERY AND OF THE VOUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,0.078125,AMERICAN SCHOOLBOYS READ WITH EMOTIONS OF HORROR OF THE ALBAGINZES DRIVEN BEATEN AND KILLED WITH A PAPEL LEGATE DIRECTING THE BUTCHERY AND OF THE VAUDOIS HUNTED AND HOUNDED LIKE BEASTS AS THE EFFECT OF A ROYAL DECREE AND THEY YET SHALL READ IN THE HISTORY OF THEIR OWN COUNTRY OF SCENES AS TERRIBLE AS THESE IN THE EXHIBITION OF INJUSTICE AND INHUMAN HATE,0.0625,1.9901416600587212,test-clean,mp3,128k,-0.015625,4,1,0,3,1,0,-1,0,0,False,False,False,False,False,True,False
882,2961,960,8,WE DO NOT KNOW HOW PLATO WOULD HAVE ARRANGED HIS OWN DIALOGUES OR WHETHER THE THOUGHT OF ARRANGING ANY OF THEM BESIDES THE TWO TRILOGIES WHICH HE HAS EXPRESSLY CONNECTED WAS EVER PRESENT TO HIS MIND,WE DO NOT KNOW HOW PLATO WOULD HAVE ARRANGED HIS OWN DIALEGTS OR WHETHER THE THOUGHT OF ARRANGING ANY OF THEM BESIDES THE TWO TRILOGIES WHICH HE HAS EXPRESSLY CONNECTED WAS EVER PRESENT TO HIS MIND,0.0277777777777777,WE DO NOT KNOW HOW PLATO WOULD HAVE ARRANGED HIS OWN DIALEGTS OR WHETHER THE THOUGHT OF ARRANGING ANY OF THEM BESIDES THE TWO TRILOGIES WHICH HE HAS EXPRESSLY CONNECTED WAS EVER PRESENT TO HIS MIND,0.0277777777777777,1.9828905645552468,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
1107,4077,13754,11,FEDERAL JUDGES AND UNITED STATES ATTORNEYS IN UTAH WHO WERE NOT MORMONS NOR LOVERS OF MORMONISM REFUSED TO ENTERTAIN COMPLAINTS OR PROSECUTE CASES UNDER THE LAW BECAUSE OF ITS MANIFEST INJUSTICE AND INADEQUACY,FEDERAL JUDGES AND UNITED STATES ATTORNEYS IN UTAH WHO WERE NOT MORMONS NOR LOVERS OF MORMANISM REFUSED TO ENTERTAIN COMPLAINTS OR PROSECUTE CASES UNDER THE LAW BECAUSE OF ITS MANIFEST INJUSTICE AND INADEQUACY,0.0303030303030303,FEDERAL JUDGES AND UNITED STATES ATTORNEYS IN UTAH WHO WERE NOT MORMENS NOR LOVERS OF MORMANISM REFUSED TO ENTERTAIN COMPLAINTS OR PROSECUTE CASES UNDER THE LAW BECAUSE OF ITS MANIFEST INJUSTICE AND INADEQUACY,0.0606060606060606,1.9822741199521348,test-clean,mp3,128k,0.0303030303030303,1,0,0,2,0,0,1,0,0,False,False,False,False,True,False,False
2475,8463,294828,13,HE WAS A FANATIC ON FORMALITY AND HE ONLY ADDRESSED ME IN THE THIRD PERSON TO THE POINT WHERE IT GOT TIRESOME,HE WAS A FANATIC ONFORMALITY AND HE ONLY ADDRESSED ME IN THE THIRD PERSON TO THE POINT WHERE IT GOT HIRESOME,0.1363636363636363,HE WAS A FANATIC ONFORMALITY AND HE ONLY ADDRESSED ME IN THE THIRD PERSON TO THE POINT WHERE IT GOT HIRESOME,0.1363636363636363,1.9703521325434077,test-clean,mp3,128k,0.0,2,1,0,2,1,0,0,0,0,False,False,False,False,False,False,True
2450,8463,294825,8,BUT MUCH OF THE NOVEL'S BROODING POWER COMES FROM CAPTAIN NEMO,BUT MUCH OF THE NOVELS BROODING POWER COMES FROM CAPTAIN NEMO,0.0909090909090909,BUT MUCH OF THE NOVELS BROODING POWER COMES FROM CAPTAIN NEMO,0.0909090909090909,1.9394299106667277,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
1426,5105,28240,9,SLIGHTLY CHANGING HER COURSE SHE FIRST STRUCK HER MAINSAIL AND IN ORDER TO FACILITATE THE MOVEMENTS OF HER HELMSMAN SOON CARRIED NOTHING BUT HER TWO TOPSAILS BRIGANTINE AND JIB,SLIGHTLY CHANGING HER COURSE SHE FIRST STRUCK HER MAINSAIL AND IN ORDER TO FACILITATE THE MOVEMENTS OF HER HELMSMEN SOON CARRIED NOTHING BUT HER TWO TOPSAILS BRIGANTINE AND JIB,0.0344827586206896,SLIGHTLY CHANGING HER COURSE SHE FIRST STRUCK HER MAINSAIL AND IN ORDER TO FACILITATE THE MOVEMENTS OF HER HELMSMEN SOON CARRIED NOTHING BUT HER TWO TOPSAILS BRIGANTINE AND JIB,0.0344827586206896,1.9792141063817363,test-clean,mp3,128k,0.0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True
2590,908,157963,27,AND LAY ME DOWN IN THY COLD BED AND LEAVE MY SHINING LOT,AND LAY ME DOWN IN THY COLD BED AND LEAVE MY SHINING LOT,0.0,AND LAY ME DOWN IN THY COLD BED AND LEAVE MY SHINING LOT,0.0,1.9480604176128755,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
2285,8224,274381,5,DREADING THE SUPERIOR POWER OF ARGYLE WHO HAVING JOINED HIS VASSALS TO A FORCE LEVIED BY THE PUBLIC WAS APPROACHING WITH A CONSIDERABLE ARMY MONTROSE HASTENED NORTHWARDS IN ORDER TO ROUSE AGAIN THE MARQUIS OF HUNTLEY AND THE GORDONS WHO HAVING BEFORE HASTILY TAKEN ARMS HAD BEEN INSTANTLY SUPPRESSED BY THE COVENANTERS,DREADING THE SUPERIOR POWER OF ARGYLE WHO HAVING JOINED HIS VASSALS TO A FORCE LEVIED BY THE PUBLIC WAS APPROACHING WITH A CONSIDERABLE ARMY MONTRES HASTENED NORTHWARD IN ORDER TO ROUSE AGAIN THE MARQUIS OF HUNTLEY AND THE GORDONS WHO HAVING BEFORE HASTILY TAKEN ARMS HAD BEEN INSTANTLY SUPPRESSED BY THE COVENANTERS,0.0384615384615384,DREADING THE SUPERIOR POWER OF ARGYLE WHO HAVING JOINED HIS VASSALS TO A FORCE LEVIED BY THE PUBLIC WAS APPROACHING WITH A CONSIDERABLE ARMY MONTRES HASTENED NORTHWARD IN ORDER TO ROUSE AGAIN THE MARQUIS OF HUNTLEY AND THE GORDONS WHO HAVING BEFORE HASTILY TAKEN ARMS HAD BEEN INSTANTLY SUPPRESSED BY THE COVENANTERS,0.0384615384615384,1.9908400214018191,test-clean,mp3,128k,0.0,2,0,0,2,0,0,0,0,0,False,False,False,False,False,False,True
1736,61,70968,55,ROBIN WAS GLAD WHEN AT LENGTH THEY WERE LEFT TO THEIR OWN DEVICES,ROBIN WAS GLAD WHEN AT LENGTH THEY WERE LEFT TO THEIR OWN DEVICES,0.0,ROBIN WAS GLAD WHEN AT LENGTH THEY WERE LEFT TO THEIR OWN DEVICES,0.0,1.93212497526975,test-clean,mp3,128k,0.0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True
